token,freq,df,sample,weight
match,3884,1380,"After his match with El Matador, Ric Flair issues a career changing challenge to Mr. Perfect for Raw next week. WWE Champion Bret Hitman Har",0
threatening,0,0,"",-2
escalate,0,0,"",-1
escalating,0,0,"",-1
conflict,0,0,"",-1
sacrifice,0,0,"",-1
incredible,0,0,"",1
stakes,0,0,"",-1
crazy,0,0,"",-1
bounty,0,0,"",-1
escalated,0,0,"",-1
escalates,0,0,"",-1
escalation,0,0,"",-1
sacrificed,0,0,"",-1
sacrifices,0,0,"",-1
sacrificing,0,0,"",-1
conflicts,0,0,"",-1
conflicting,0,0,"",-1
bounties,0,0,"",-1
incredibly,0,0,"",1
team,2565,2004,"As alliances form among the players, no one is safe in the dorm after lights-out. The third game challenges Gi-hun's team to think strategic",0
new,2144,1982,"A vengeful Gi-hun makes a U-turn at the airport. Later, in his hideout, he intensifies his search for the elusive recruiter who is seeking n",0
after,2035,1910,"As alliances form among the players, no one is safe in the dorm after lights-out. The third game challenges Gi-hun's team to think strategic",0
wwe,1817,1397,"After his match with El Matador, Ric Flair issues a career changing challenge to Mr. Perfect for Raw next week. WWE Champion Bret Hitman Har",0
him,1713,1431,"Sakuta had been unable to see Mai, who was not only busy with work but had an order from her agency forbidding her from going on dates. The ",0
meanwhile,1383,1378,"A few players enter the next round — which promises equal doses of sweet and deadly — with hidden advantages. Meanwhile, Jun-ho sneaks his w",0
about,1308,1184,"Even after leaving Fujisawa for Ogaki, not one person remembered anything about Mai Sakurajima. Sakuta and Mai return to school together, bu",0
tag,1285,930,"Mai responds to the media, asserting that she is not the real identity of Touko Kirishima on Coming of Age Day. Nevertheless, the impact of ",0
singles,1272,477,"Jerry ""The King"" Lawler squares off against Jim Powers. The Beverly Brothers battle The Steiner Brothers in tag team action. Virgil faces Ba",0
champion,1269,996,Daddy Pig loses his title as champion puddle jumper.,0
against,1165,1056,"After his match with El Matador, Ric Flair issues a career changing challenge to Mr. Perfect for Raw next week. WWE Champion Bret Hitman Har",0
big,1134,1005,"Get ready to race, jump and fly as Gabby, Pandy, Carlita and the DooDads compete for a big, beautiful Meow-Mazing Games trophy!",0
help,1040,1003,Jun-ho's team gets close to finding the island. Jang Geum-ja makes a desperate plea to Gi-hun to help Jun-hee. The VIPs discuss a cruel prop,1
title,1020,665,Daddy Pig loses his title as champion puddle jumper.,0
championship,1018,844,Money Inc. prepares for their Tag Team Championship Match at Wrestlemania. Andre The Giant is announced as the first Inductee to the WWE Hal,0
take,941,908,"Hoping to win easy money, a broke and desperate Gi-hun agrees to take part in an enigmatic game. Not long into the first round, unforeseen h",0
find,930,880,"Sakuta from the other possible realm sends a message through Ikumi that reads, “Find Touko Kirishima, Mai-san is in danger.” After seeing th",0
plus,912,911,"""Hacksaw"" Jim Duggan leads a tribute to the good old USA. Intercontinental Champion Marty Janetty defends the title against Bam Bam Bigelow.",0
get,904,859,It’s almost time to get groovy at the music store grand opening! Can Gabby and Pandy earn enough kitty coins to buy an instrument?,0
takes,902,871,"Puberty syndrome – Abnormal experiences rumored on the internet to be caused by sensitivity and instability during adolescence. This year, S",0
smackdown,850,750,"The Undertaker challenges ""Stone Cold"" Steve Austin for his WWE Championship. Billy Gunn's attempts to humiliate The Rock fall short after T",0
gets,824,798,"Gi-hun finally gets hold of an invitation, marked for Halloween day. In a tense moment facing Jun-ho, they reveal their truths to each other",0
john,814,720,"While preparing to go one-on-one with Edge, Batista's attention turns to SmackDown's WWE Champion John ""Bradshaw"" Layfield who's impending a",0
time,808,765,"The final round presents another cruel test — but this time, how it ends depends on just one player. The game's creator steps out of the sha",0
raw,802,645,The Premiere episode of Monday Night Raw. The Undertaker battles Damien Demento in Raw's first-ever main event. Shawn Michaels competes.,0
luffy,795,631,"A group of pirates lead by Alvida plunder a ship, only to find a barrel which contains a strange boy named Luffy. Luffy is on a mission to f",0
back,788,747,"With Nodoka's Puberty Syndrome resolved, Sakuta's expectations to spend sweeter times with Mai is growing. But then, a scandal is reported b",0
show,751,720,"The Masked Leader welcomes VIP guests to the facility for a front-row viewing of the show. In the fifth game, some players crack under press",0
man,746,654,"Even as Gi-hun supports Jun-hee amid rising tensions, she must make a pivotal decision. Before the final game, the Front Man gives Gi-hun an",0
day,722,685,"Gi-hun finally gets hold of an invitation, marked for Halloween day. In a tense moment facing Jun-ho, they reveal their truths to each other",0
tries,715,690,"No-eul tries to gain the upper hand in negotiations, but her plans backfire. Gi-hun faces a moral crossroads, testing his limits — how far w",0
family,715,686,"On a rainy day, Gabby and friends must take care of Kico — a baby KittyCorn who's part kitty, part unicorn — until it's time for her to meet",2
world,704,656,"Split on whether to continue or quit, the group holds a vote. But their realities in the outside world may prove to be just as unforgiving a",0
tonight's,695,426,"Tonight's episode of Raw is being broadcast live from the Baltimore Arena in Baltimore, MD. The scheduled matches for tonight’s card are:

S",0
make,689,666,"Even as Gi-hun supports Jun-hee amid rising tensions, she must make a pivotal decision. Before the final game, the Front Man gives Gi-hun an",0
battle,688,661,"After being out for months following a devastating boating accident, Brutus 'The Barber' Beefcake returns to face 'The Million Dollar Man' T",0
off,675,656,"Players pair off for the fourth game. Gi-hun grapples with a moral dilemma, Sang-woo chooses self-preservation and Sae-byeok shares her unto",0
goes,671,656,A Miniskirt Santa suddenly appears before Sakuta. She says her name is “Touko Kirishima” and claims to have been handing out Puberty Syndrom,0
before,664,637,"Even as Gi-hun supports Jun-hee amid rising tensions, she must make a pivotal decision. Before the final game, the Front Man gives Gi-hun an",0
makes,658,644,"Ahead of the last round, distrust and disgust run deep among the finalists. Jun-ho makes a getaway, determined to expose the game's dirty se",0
first,623,588,"Hoping to win easy money, a broke and desperate Gi-hun agrees to take part in an enigmatic game. Not long into the first round, unforeseen h",0
event,612,602,"Sakuta has a dream that Mai reveals herself as the true identity of Touko Kirishima at a music festival held on April 1st. At the same time,",0
life,599,580,"Tall tales come to life with a king, a mermaid and so much more as Gabby and the gang create and celebrate enchanting fairytales in a storyb",0
triple,582,560,"Jim ""The Anvil"" Neidhart takes on Triple H. While the New Age Outlaws begin their reign as Tag Team Champions, the Legion of Doom goes on a ",0
much,576,569,"A pumpkin lantern made of glass comes crashing down in a plaza in front of Sakuragicho Station, just as a social media post with the hashtag",0
episode,575,567,The Premiere episode of Monday Night Raw. The Undertaker battles Damien Demento in Raw's first-ever main event. Shawn Michaels competes.,0
where,565,532,"The players prepare for the next game: a six-legged pentathlon, where each team member must clear a mini-game to survive — or face collectiv",0
finds,565,553,"After agreeing to harbor an abandoned cat, Sakuta finds himself welcoming a look-alike to his old school crush into his home. This does not ",0
face,561,517,"The players prepare for the next game: a six-legged pentathlon, where each team member must clear a mini-game to survive — or face collectiv",0
also,552,528,"Puberty syndrome – Abnormal experiences rumored on the internet to be caused by sensitivity and instability during adolescence. This year, S",0
main,549,543,The Premiere episode of Monday Night Raw. The Undertaker battles Damien Demento in Raw's first-ever main event. Shawn Michaels competes.,0
between,546,530,"Upon searching the hashtag #DREAMING, numerous posts were found about attending a middle school reunion on November 27th. Ikumi also dreamt ",0
faces,545,532,"The games resume, and Gi-hun fixates on confronting Kang Dae-ho. Meanwhile, Kim Jun-hee faces a sudden crisis that pushes her willpower to i",0
matches,543,541,Money Inc. prepares for their Tag Team Championship Match at Wrestlemania. Andre The Giant is announced as the first Inductee to the WWE Hal,0
friends,533,517,"Mush, mash and mix in a dash! Gabby and her friends prepare for a spa day. Meanwhile, MerCat deals with a sparkle disaster. Can the gang fin",2
house,526,426,"Upon inducing a case of ""Puberty Syndrome"" where two copies of herself exists, Rio ends up staying at Sakuta's house for the time being. Mea",0
randy,520,510,"Mr. Perfect battles Ric Flair in a Loser Leaves WWE Match. """"Macho Man"""" Randy Savage seeks revenge when he battles The Repo Man. Kamala, wi",0
case,519,483,"Upon inducing a case of ""Puberty Syndrome"" where two copies of herself exists, Rio ends up staying at Sakuta's house for the time being. Mea",0
way,512,497,"A few players enter the next round — which promises equal doses of sweet and deadly — with hidden advantages. Meanwhile, Jun-ho sneaks his w",0
own,512,493,"Even after leaving Fujisawa for Ogaki, not one person remembered anything about Mai Sakurajima. Sakuta and Mai return to school together, bu",0
kane,497,479,WWE mourns the untimely passing of Flyin' Brian Pillman. The Hart Foundation come face-to-face with Shawn Michaels and his band of degenerat,0
orton,496,481,"After preventing Rob Van Dam from capturing the World Heavyweight Championship against Triple H at Unforgiven, Ric Flair's relationship with",0
cena,492,470,"Triple H plans a surprise for the next pick in the WWE Draft. In his first match on Raw, WWE Champion John Cena teams with Chris Jericho to ",0
mcmahon,476,419,"Love is in the air as two members of the WWE Universe get engaged. Lex Luger and Crush battle it out, but what happens when several Doink th",0
non,466,301,"Tonight's episode of Raw is being broadcast live from the Baltimore Arena in Baltimore, MD. The scheduled matches for tonight’s card are:

S",0
fight,463,439,"Peppa and George go for a ride in Grandpa Pig's boat, but Grandpa Pig and Grandpa Dog get into a fight.",-1
card,457,455,"Tonight's episode of Raw is being broadcast live from the Baltimore Arena in Baltimore, MD. The scheduled matches for tonight’s card are:

S",0
past,455,449,"Sakuta unveils to Mai and Nodoka the details of his family's past, and the trauma that Kaede underwent. Meanwhile, Kaede continues her re-in",0
only,453,432,"Sakuta had been unable to see Mai, who was not only busy with work but had an order from her agency forbidding her from going on dates. The ",0
night,450,426,Gi-hun and his team take turns keeping guard through the night. The masked men encounter trouble with their co-conspirators.,0
plan,447,433,The remaining players strategize on how to survive the night. Gi-hun proposes a risky plan — but he will need trustworthy allies to carry it,0
old,447,425,"After agreeing to harbor an abandoned cat, Sakuta finds himself welcoming a look-alike to his old school crush into his home. This does not ",0
himself,444,430,"After agreeing to harbor an abandoned cat, Sakuta finds himself welcoming a look-alike to his old school crush into his home. This does not ",0
scheduled,444,444,"Tonight's episode of Raw is being broadcast live from the Baltimore Arena in Baltimore, MD. The scheduled matches for tonight’s card are:

S",0
action,440,428,"Even after leaving Fujisawa for Ogaki, not one person remembered anything about Mai Sakurajima. Sakuta and Mai return to school together, bu",0
broadcast,440,439,"In one of the most exciting awards ceremonies on television, bar none, Raw celebrated another year of the Slammy Awards. With the opening of",0
other,438,420,"Gi-hun finally gets hold of an invitation, marked for Halloween day. In a tense moment facing Jun-ho, they reveal their truths to each other",0
comes,435,424,"Sakuta had been unable to see Mai, who was not only busy with work but had an order from her agency forbidding her from going on dates. The ",0
chris,435,426,Triple H's aspirations of becoming WWE Champion are put in jeopardy when Chyna makes an unexpected demand. Commissioner Shawn Michaels does,0
challenge,432,405,"A new student, Gerald giraffe, joins the playgroup. They try a challenge of hide and seek.",0
work,430,414,"After agreeing to harbor an abandoned cat, Sakuta finds himself welcoming a look-alike to his old school crush into his home. This does not ",0
friend,424,411,"Even after leaving Fujisawa for Ogaki, not one person remembered anything about Mai Sakurajima. Sakuta and Mai return to school together, bu",2
save,418,402,Super Gabby and Super Pandy shrink down to save the day from a mischievous CatRat. Can they solve his playful puzzles? Let the marvelous mis,2
during,406,395,"Puberty syndrome – Abnormal experiences rumored on the internet to be caused by sensitivity and instability during adolescence. This year, S",0
cold,406,402,"After Kitty Fairy catches a cold, Gabby and Pandy deliver dandelion soup and step in to save the day.",0
another,403,393,"The final round presents another cruel test — but this time, how it ends depends on just one player. The game's creator steps out of the sha",0
ziggler,401,383,"The December 1, 2008 Edition of RAW is a Professional wrestling television show of the WWE's RAW brand, which took place on December 1, 2008",0
reigns,401,367,"Alberto Del Rio vs Big E. Langston
WWE United States Championship
- Dean Ambrose vs Kofi Kingston
WWE Tag Team Championships
- Roman Reigns ",0
murder,400,390,One of history's most famous murder victims pays the house a visit. Constance discovers more of Tate's bad behavior.,-3
steve,397,391,"The First Round matches of the 1996 King of the Ring are underway featuring Stone Cold Steve Austin, Jake 'The Snake' Roberts, and more.",0
dolph,395,380,"The December 1, 2008 Edition of RAW is a Professional wrestling television show of the WWE's RAW brand, which took place on December 1, 2008",0
king,394,353,"Tall tales come to life with a king, a mermaid and so much more as Gabby and the gang create and celebrate enchanting fairytales in a storyb",0
undertaker,392,390,The Premiere episode of Monday Night Raw. The Undertaker battles Damien Demento in Raw's first-ever main event. Shawn Michaels competes.,0
party,382,357,"A tiny suitcase surprise leads to a fancy hotel stay for Gabby and Pandy, featuring ""cat-abulous"" spa treatments and a popping pool party.",0
roman,380,362,"Alberto Del Rio vs Big E. Langston
WWE United States Championship
- Dean Ambrose vs Kofi Kingston
WWE Tag Team Championships
- Roman Reigns ",0
group,375,357,"Split on whether to continue or quit, the group holds a vote. But their realities in the outside world may prove to be just as unforgiving a",0
rock,374,368,Peppa and George help out Grandpa Pig create a rock garden.,0
jack,374,349,"Boxing Legend Mike Tyson is announced as the guest enforcer for the ""Stone Cold"" Steve Austin vs. Shawn Michaels match at WrestleMania. Paul",0
uso,374,206,"Rey Mysterio, Sin Cara &amp; R-Truth vs Antonio Cesaro, Darren Young &amp; Titus O'Neil
Daniel Bryan vCody Rhodes
Kane vs Damien Sandow
Shea",0
stone,370,365,"The First Round matches of the 1996 King of the Ring are underway featuring Stone Cold Steve Austin, Jake 'The Snake' Roberts, and more.",0
