franchise,season,episode,lang,overview
Squid Game,1,1,en-US,"Hoping to win easy money, a broke and desperate Gi-hun agrees to take part in an enigmatic game. Not long into the first round, unforeseen horrors unfold."
Squid Game,1,2,en-US,"Split on whether to continue or quit, the group holds a vote. But their realities in the outside world may prove to be just as unforgiving as the game."
Squid Game,1,3,en-US,"A few players enter the next round — which promises equal doses of sweet and deadly — with hidden advantages. Meanwhile, Jun-ho sneaks his way inside."
Squid Game,1,4,en-US,"As alliances form among the players, no one is safe in the dorm after lights-out. The third game challenges Gi-hun's team to think strategically."
Squid Game,1,5,en-US,Gi-hun and his team take turns keeping guard through the night. The masked men encounter trouble with their co-conspirators.
Squid Game,1,6,en-US,"Players pair off for the fourth game. Gi-hun grapples with a moral dilemma, Sang-woo chooses self-preservation and Sae-byeok shares her untold story."
Squid Game,1,7,en-US,"The Masked Leader welcomes VIP guests to the facility for a front-row viewing of the show. In the fifth game, some players crack under pressure."
Squid Game,1,8,en-US,"Ahead of the last round, distrust and disgust run deep among the finalists. Jun-ho makes a getaway, determined to expose the game's dirty secrets."
Squid Game,1,9,en-US,"The final round presents another cruel test — but this time, how it ends depends on just one player. The game's creator steps out of the shadows."
Squid Game,2,1,en-US,"A vengeful Gi-hun makes a U-turn at the airport. Later, in his hideout, he intensifies his search for the elusive recruiter who is seeking new players."
Squid Game,2,2,en-US,"Gi-hun finally gets hold of an invitation, marked for Halloween day. In a tense moment facing Jun-ho, they reveal their truths to each other."
Squid Game,2,3,en-US,"New players gather for a chance to win 45.6 billion won. After an intense first round, the survivors' fates hang in the balance — down to one final vote."
Squid Game,2,4,en-US,"The players prepare for the next game: a six-legged pentathlon, where each team member must clear a mini-game to survive — or face collective elimination."
Squid Game,2,5,en-US,Kang No-eul earns enemies for her unruly actions. Nerves fray to the breaking point as the remaining players vote on whether to move to the next round.
Squid Game,2,6,en-US,"Jun-ho and his team prepare to infiltrate a suspicious island. As monetary stakes and tensions rise, players split into two opposing factions."
Squid Game,2,7,en-US,The remaining players strategize on how to survive the night. Gi-hun proposes a risky plan — but he will need trustworthy allies to carry it out.
Squid Game,3,1,en-US,"No-eul infiltrates a dangerous operation with a risky plan. A new game is announced: hide-and-seek, where one group holds a key and the other a knife."
Squid Game,3,2,en-US,"The games resume, and Gi-hun fixates on confronting Kang Dae-ho. Meanwhile, Kim Jun-hee faces a sudden crisis that pushes her willpower to its limits."
Squid Game,3,3,en-US,Jun-ho's team gets close to finding the island. Jang Geum-ja makes a desperate plea to Gi-hun to help Jun-hee. The VIPs discuss a cruel proposal.
